row,col,temp
4.0,48.0,-10.190694
4.0,49.0,-10.264363
4.0,50.0,-10.553733
4.0,51.0,-10.098087
4.0,52.0,-9.7534736
4.0,53.0,-9.9957616
4.0,54.0,-10.058119
4.0,55.0,-10.284649
4.0,56.0,-11.845667
4.0,57.0,-11.90947
4.0,58.0,-11.901759
4.0,59.0,-12.272223
4.0,60.0,-12.371783
4.0,61.0,-13.081713
4.0,62.0,-13.721193
4.0,63.0,-13.382776
4.0,64.0,-12.860247
4.0,65.0,-12.99618
4.0,66.0,-13.651898
4.0,67.0,-13.417096
4.0,68.0,-12.998136
4.0,69.0,-13.378009
4.0,70.0,-9999.0
4.0,71.0,-9999.0
4.0,72.0,-9999.0
4.0,73.0,-9999.0
4.0,74.0,-9999.0
4.0,75.0,-9999.0
4.0,76.0,-9999.0
4.0,77.0,-9999.0
4.0,78.0,-9999.0
4.0,79.0,-9999.0
4.0,80.0,-9999.0
4.0,81.0,-9999.0
4.0,82.0,-9999.0
4.0,83.0,-9999.0
4.0,84.0,-9999.0
4.0,85.0,-9999.0
4.0,86.0,-9999.0
4.0,87.0,-9999.0
4.0,88.0,-9999.0
5.0,0.0,-9999.0
5.0,1.0,-9999.0
5.0,2.0,-9999.0
5.0,3.0,-9999.0
5.0,4.0,-9999.0
5.0,5.0,-9999.0
5.0,6.0,-9999.0
5.0,7.0,1.5700628
5.0,8.0,-0.72147603
5.0,9.0,-2.118995
5.0,10.0,-1.5816338
5.0,11.0,-1.317268
5.0,12.0,-1.8712396
5.0,13.0,-0.5874001
5.0,14.0,-0.38801735
5.0,15.0,-1.2676346
5.0,16.0,-2.896832
5.0,17.0,-3.17491
5.0,18.0,-6.4052786
5.0,19.0,-4.3098493
5.0,20.0,-4.939312
5.0,21.0,-6.4161726
5.0,22.0,-7.2754381
5.0,23.0,-6.6872132
5.0,24.0,-7.5453151
5.0,25.0,-10.024673
5.0,26.0,-9.8922797
5.0,27.0,-8.4154691
5.0,28.0,-8.8922407
5.0,29.0,-10.702439
5.0,30.0,-9.5450189
5.0,31.0,-8.8059124
5.0,32.0,-9.3691517
5.0,33.0,-10.260821
5.0,34.0,-9.3455204
5.0,35.0,-9.2756916
5.0,36.0,-9.5393107
5.0,37.0,-9.5854967
5.0,38.0,-9.1805481
5.0,39.0,-9.127329
5.0,40.0,-9.364305
5.0,41.0,-9.2902485
5.0,42.0,-9.3269325
5.0,43.0,-9.7819987
5.0,44.0,-10.496074
5.0,45.0,-9.8936965
5.0,46.0,-9.716657
5.0,47.0,-10.072596
5.0,48.0,-10.322413
5.0,49.0,-9.8691456
5.0,50.0,-9.5896974
5.0,51.0,-8.5675364
5.0,52.0,-8.795678
5.0,53.0,-9.6810436
5.0,54.0,-9.8878973
5.0,55.0,-8.8784728
5.0,56.0,-11.067347
5.0,57.0,-11.589455
5.0,58.0,-12.057527
5.0,59.0,-13.121375
5.0,60.0,-12.322683
